40,,,Pellgu Drini I Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_011,,,,,,RV01_012,,,,,,,,,,,,,,,,,,,,,,RV01_013,,,,,,,,,,,,,,,,,,,,,,RV01_014,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Radavc,,,,,,Drini në Klinë,,,,,,,,,,,,,,,,,,,,,,Gjonaj,,,,,,,,,,,,,,,,,,,,,,Vernicë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Shtator,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,16.04.2013,04.09.2013,,,,,13.03.2013,16.04.2013,20.05.2013,,27.06.2013,31.07.2013,,,04.9.2013,,,,,31.01.2013,14.02.2013,,,,,,,,28.03.2013,29.04.2013,29.05.2013,,26.06.2013,31.07.2013,,,,,21.11.2013,,,23.01.2013,28.02.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,13:10,15:25,,,,,14:40,9:50,11:50,,10:45,11:00,,,18:35,,,,,10:10,10:25,,,,,,,,13:30,13:20,11:10,,11:40,11:05,,,,,15:30,,,11:15,11:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Moti,M,vrojtim,me diell,diell,,,,,diell,me diell,me diell,,vranet,diell,,,diell,,,,, shi,vranet,,,,,,,,diell,me diell,me diell,,me diell,diell,,,,,vranet,,,vranet,vranet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Temperatura e ujit ,Tu,0C,9.4,8.4,8.4,8.9,9.4,2,9.1,9.4,12.5,10.333,13.4,18.9,,16.15,18.6,,,18.6,,5.9,6.7,6.3,5.9,11.813,18.9,10.95,4.98,8,8.7,16.5,14.4,13.2,19.6,26,,22.8,,,11.5,11.5,,6.4,6.4,6.4,6.4,13.688,26,12.95,6.875,8,,,,,,,,,,,,,,,,,0,,0,,,0
1004,Temperatura e ajrit,TA,0C,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0,,0,0,pa,pa,pa,,pa,pa,,,pa,,,,,pa,pa,,0,,0,,,0,pa,pa,pa,,pa,pa,,,,,pa,,,pa,pa,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0,,0,0,,,,,,pa,,,,,,,,,,,0,,0,,,0,,pa,,,,pa,,,,,pa,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1007,Turbullira,Tur,NTU,15.1,0.5,0.5,7.8,15.1,2,10.5,129,12.4,50.633,19.2,8.2,,13.7,9.6,,,9.6,,18.1,110,64.05,8.2,39.625,129,15.25,49.713,8,189,140,12.7,113.9,16.8,18,,17.4,,,102,102,,24,16.3,20.15,12.7,64.85,189,21,69.375,8,,,,,,,,,,,,,,,,,0,,0,,,0
1008,Perqueshmëria elektrike,χ,µS/cm,265,261,261,263,265,2,389,363,325,359,365,440,,402.5,427,,,427,,467,434,450.5,325,401.25,467,408,48.257,8,335,273,308,305.333,372,404,,388,,,314,314,,275,380,327.5,273,332.625,404,324.5,48.879,8,,,,,,,,,,,,,,,,,0,,0,,,0
1009,Materiet e tretshme në ujë,M.tert.,mg/l,132,130,130,131,132,2,195,181,162,179.333,182,220,,201,213,,,213,,233,217,225,162,200.375,233,204,24.201,8,166,136,154,152,186,202,,194,,,156,156,,138,190,164,136,166,202,161,24.495,8,,,,,,,,,,,,,,,,,0,,0,,,0
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.02,8.35,8.02,8.185,8.35,2,8.1,8.16,7.82,8.027,8.3,8.27,,8.285,8.42,,,8.42,,8.17,8.03,8.1,7.82,8.159,8.42,8.165,0.183,8,7.34,7.71,8.45,7.833,7.96,8.18,,8.07,,,,,,7.92,8.38,8.15,7.34,7.991,8.45,7.96,0.389,7,,,,,,,,,,,,,,,,,0,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,9.7,6.45,6.45,8.075,9.7,2,8.98,9.9,7.55,8.81,,8.68,,8.68,7.26,,,7.26,,6.98,6.15,6.565,6.15,7.929,9.9,7.55,1.304,7,6.2,5.22,5.08,5.5,,10.81,,10.81,,,,,,6.78,7.8,7.29,5.08,6.982,10.81,6.49,2.131,6,,,,,,,,,,,,,,,,,0,,0,,,0
1013,Ngopshmëria me oksigjen,NgO,%,106.1,70,70,88.05,106.1,2,,107,76,91.5,,93.5,,93.5,95.5,,,95.5,,69.9,63.1,66.5,63.1,84.167,107,84.75,17.035,6,66.7,57.7,50.8,58.4,,131.3,,131.3,,,,,,66.4,86,76.2,50.8,76.483,131.3,66.55,29.344,6,,,,,,,,,,,,,,,,,0,,0,,,0
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,1.4,0.8,0.8,1.1,1.4,2,2.4,3.2,11.9,5.833,28.4,5.9,,17.15,4.6,,,4.6,,5.8,10.1,7.95,2.4,9.038,28.4,5.85,8.472,8,32.5,5.6,4.5,14.2,2.4,1.9,,2.15,,,54,54,,35,6.2,20.6,1.9,17.763,54,5.9,19.902,8,,,,,,,,,,,,,,,,,0,,0,,,0
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0,,0,0,0.9,1.2,5.3,2.467,7.1,0.15,,3.625,11.6,,,11.6,,2.08,4.6,3.34,0.15,4.116,11.6,3.34,3.878,8,5,2.6,2,3.2,0.9,0.15,,0.525,,,15.4,15.4,,2.1,0.6,1.35,0.15,3.594,15.4,2.05,5.003,8,,,,,,,,,,,,,,,,,0,,0,,,0
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1018,Karboni organik total ,KOT,mg/l C,0.9,0.15,0.15,0.525,0.9,2,0.6,0.9,3.6,1.7,9.2,1.8,,5.5,7.7,,,7.7,,1.8,3.1,2.45,0.6,3.588,9.2,2.45,3.189,8,10.1,1.9,1.5,4.5,0.6,0.5,,0.55,,,17,17,,11,1.2,6.1,0.5,5.475,17,1.7,6.326,8,,,,,,,,,,,,,,,,,0,,0,,,0
1019,Meteriet totale të suspenduara ,MTS,,5,0.15,0.15,2.575,5,2,17,22.4,14.3,17.9,,0.15,,0.15,,,,,,4.6,4.5,4.55,0.15,10.492,22.4,9.45,8.674,6,24.4,26,22.6,24.333,19,15.4,,17.2,,,8.5,8.5,,7.7,19,13.35,7.7,17.825,26,19,6.876,8,,,,,,,,,,,,,,,,,0,,0,,,0
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.15,0.15,0.15,2,0.15,0.15,0.15,0.15,0.15,0.15,,0.15,0.15,,,0.15,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,8,0.15,0.6,0.4,0.383,0.15,0.15,,0.15,,,0.15,0.15,,0.15,0.15,0.15,0.15,0.238,0.6,0.15,0.171,8,,,,,,,,,,,,,,,,,0,,0,,,0
1021,Joni nitrat,NO3-,mg/l,0.15,0.15,0.15,0.15,0.15,2,6.2,3.9,1.9,4,3.2,5.4,,4.3,8.2,,,8.2,,12.7,10.9,11.8,1.9,6.55,12.7,5.8,3.794,8,3.9,0.15,0.9,1.65,3.2,3.8,,3.5,,,1.4,1.4,,5.1,9.9,7.5,0.15,3.544,9.9,3.5,3.076,8,,,,,,,,,,,,,,,,,0,,0,,,0
1022,Azoti i nitrateve,N-NO3-,mg/l,0.15,0.15,0.15,0.15,0.15,2,1.401,0.881,0.429,0.904,0.723,1.22,,0.972,2.673,,,2.673,,2.87,2.463,2.667,0.429,1.583,2.87,1.311,0.952,8,0.881,0.15,0.203,0.412,0.723,0.859,,0.791,,,0.316,0.316,,1.153,2.237,1.695,0.15,0.815,2.237,0.791,0.678,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1023,Joni nitratet ,NO2-,mg/l,0.9,0.0045,0.005,0.452,0.9,2,0.064,0.048,0.074,0.062,0.125,0.178,,0.152,0.076,,,0.076,,0.1,,0.1,0.048,0.095,0.178,0.076,0.044,7,0.072,0.115,0.166,0.118,0.186,0.306,,0.246,,,0.265,0.265,,0.035,,0.035,0.035,0.164,0.306,0.166,0.099,7,,,,,,,,,,,,,,,,,0,,0,,,0
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.293,0.0045,0.005,0.149,0.293,2,0.019,0.015,0.022,0.019,0.038,0.054,,0.046,0.023,,,0.023,,0.03,,0.03,0.015,0.029,0.054,0.023,0.013,7,0.022,0.035,0.05,0.036,0.057,0.093,,0.075,,,0.081,0.081,,0.011,,0.011,0.011,0.05,0.093,0.05,0.03,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1025,Joni amonium,NH4+,mg/l,,0.9,0.9,0.9,0.9,1,0.335,,0.085,0.21,2.154,3.621,,2.888,3.15,,,3.15,,1.9,,1.9,0.085,1.874,3.621,2.027,1.437,6,0.351,0.346,0.064,0.254,1.228,1.512,,1.37,,,3.75,3.75,,0.61,,0.61,0.064,1.123,3.75,0.61,1.268,7,,,,,,,,,,,,,,,,,0,,0,,,0
1026,Azoti i amoniumit,N-NH4+,mg/l N,,0.7,0.7,0.7,0.7,1,0.261,,0.066,0.163,1.676,2.817,,2.246,2.451,,,2.451,,1.478,,1.478,0.066,1.458,2.817,1.577,1.118,6,0.273,0.269,0.05,0.197,0.955,1.176,,1.066,,,2.918,2.918,,0.475,,0.475,0.05,0.874,2.918,0.475,0.987,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1027,Azoti total inorganik,ATI,mg/l N,0.443,0.855,0.443,0.649,0.855,2,1.681,0.896,0.518,1.032,2.437,4.092,,3.264,5.147,,,5.147,,4.379,2.463,3.421,0.518,2.702,5.147,2.45,1.687,8,1.176,0.454,0.304,0.645,1.735,2.128,,1.932,,,3.314,3.314,,1.638,2.237,1.938,0.304,1.623,3.314,1.686,0.987,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1028,Amoniumi i pajonizuar,NH3,mg/l,,0.658,0.658,0.658,0.658,1,0.245,,0.062,0.154,1.575,2.648,,2.112,2.304,,,2.304,,1.39,,1.39,0.062,1.371,2.648,1.482,1.051,6,0.257,0.253,0.047,0.186,0.898,1.106,,1.002,,,2.742,2.742,,0.446,,0.446,0.047,0.821,2.742,0.446,0.927,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,,0.542,0.542,0.542,0.542,1,0.202,,0.051,0.126,1.296,2.179,,1.738,1.896,,,1.896,,1.144,,1.144,0.051,1.128,2.179,1.22,0.865,6,0.211,0.208,0.039,0.153,0.739,0.91,,0.825,,,2.257,2.257,,0.367,,0.367,0.039,0.676,2.257,0.367,0.763,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1030,Azoti total organik+inorganik,AT,mg/l N,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1031,Azoti total organik,ATO,mg/l N,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1032,Ortofosfatet,PO43-,mg/l,0.104,0.101,0.101,0.103,0.104,2,0.333,0.162,0.205,0.233,0.019,0.408,,0.214,0.175,,,0.175,,0.25,,0.25,0.019,0.222,0.408,0.205,0.126,7,0.114,0.158,0.092,0.121,0.5,0.101,,0.301,,,0.174,0.174,,0.147,,0.147,0.092,0.184,0.5,0.147,0.143,7,,,,,,,,,,,,,,,,,0,,0,,,0
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.034,0.033,0.033,0.033,0.034,2,0.109,0.053,0.067,0.076,0.006,0.133,,0.07,0.057,,,0.057,,0.082,,0.082,0.006,0.072,0.133,0.067,0.041,7,0.037,0.052,0.03,0.04,0.163,0.033,,0.098,,,0.057,0.057,,0.048,,0.048,0.03,0.06,0.163,0.048,0.047,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0,,0,0,0.16,0.045,0.081,0.095,0.013,0.211,,0.112,0.064,,,0.064,,0.88,,0.88,0.013,0.208,0.88,0.081,0.304,7,0.042,0.055,0.041,0.046,0.049,0.053,,0.051,,,0.131,0.131,,0.06,,0.06,0.041,0.062,0.131,0.053,0.031,7,,,,,,,,,,,,,,,,,0,,0,,,0
1035,Joni sulfat ,SO42-,mg/l,0.5,0.15,0.15,0.325,0.5,2,34.5,4.7,2.9,14.033,3.3,13.2,,8.25,1.2,,,1.2,,16.6,,16.6,1.2,10.914,34.5,4.7,11.896,7,12,11.2,9.8,11,6.3,6.4,,6.35,,,15.3,15.3,,7.98,,7.98,6.3,9.854,15.3,9.8,3.27,7,,,,,,,,,,,,,,,,,0,,0,,,0
1036,Fortësia e përgjithshme ,Fp,0dH,8.12,8.12,8.12,8.12,8.12,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,7.84,7.7,7.7,7.77,7.84,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1038,Fortësia e Magnezit,FMg,mg/l,0.28,0.42,0.28,0.35,0.42,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,56.056,55.06,55.055,55.556,56.056,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1040,Jonet e Magnezit,Mg+,mg/l,1.2152,1.82,1.215,1.519,1.823,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,2.84,2.86,2.84,2.85,2.86,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1043,Alkaliteti total,AT,mmol/l HCl,2.84,2.86,2.84,2.85,2.86,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1044,Bikarbonatet ,HCO3-,mg/l,173.24,174.5,173.24,173.85,174.46,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1045,Klori i lirë,Cl2,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1046,Kloruret ,Cl-,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1047,Silikatet,SiO32-,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1049,Klorofil a,Chlorophyll a,µg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
