,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Lumbardhi i Pejës,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_041,,,,,,RV01_042,,,,,,,,,,,,,,,,,,,,,,RV01_043,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Drelaj,,,,,,Pejë - Dalje,,,,,,,,,,,,,,,,,,,,,,Grabanicë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Gusht,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,16.04.2013,04.09.2013,,,,,13.03.2013,16.04.2013,20.05.2013,,27.06.2013,31.07.2013,,,04.09.2013,,,,,31.01.2013,14.02.2013,,,,,,,,13.03.2013,16.04.2013,20.05.2013,,27.06.2013,31.07.2013,,,04.09.2013,,,,,31.01.2013,14.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,11:50,17:10,,,,,14:00,10:45,12:35,,11:25,12:08,,,15:00,,,,,11:00,11:25,,,,,,,,14:30,10:15,12:15,,11:00,11:15,,,15:25,,,,,10:25,10:45,,,,,,,
1002,Moti,M,vrojtim,me diell,diell,,,,,vranet,me diell,me diell,,vranet,dill,,,diell,,,,,vranet,vranet,,,,,,,,vranet,me diell,me diell,,vranet,diell,,,diell,,,,,me shi,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,7.9,11.6,7.9,9.75,11.6,2,6.9,7.8,11.4,8.7,12.4,18,,15.2,20.4,,,20.4,,5.4,6.1,5.75,5.4,11.05,20.4,9.6,5.63,8,8.3,8.3,12.1,9.567,14.3,21,,17.65,18.9,,,18.9,,5.5,5.8,5.65,5.5,11.775,21,10.2,5.875,8
1004,Temperatura e ajrit,TA,0C,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0,,0,0,pa,pa,pa,,pa,pa,,,pa,,,,,pa,pa,,0,,0,,,0,pa,pa,pa,,pa,pa,,,pa,,,,,pa,pa,,0,,0,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0,,0,0,,,,,,pa,,,pa,,,,,,,,0,,0,,,0,,,,,,pa,,,pa,,,,,,,,0,,0,,,0
1007,Turbullira,Tur,NTU,17.2,9.7,9.7,13.45,17.2,2,13.8,18.4,18.4,16.867,8.1,5.6,,6.85,34,,,34,,15.5,9.6,12.55,5.6,15.425,34,14.65,8.86,8,11,138,16.4,55.133,14.3,16.9,,15.6,12.3,,,12.3,,16.7,118,67.35,11,42.95,138,16.55,52.808,8
1008,Perqueshmëria elektrike,χ,µScm-1,229,274,229,251.5,274,2,259,234,203,232,242,300,,271,303,,,303,,295,297,296,203,266.625,303,277,37.686,8,301,291,255,282.333,340,440,,390,466,,,466,,394,337,365.5,255,353,466,338.5,74.254,8
1009,Materiet e tretshme në ujë,M.tert.,mg/l,115,136,115,125.5,136,2,128,117,101,115.333,121,151,,136,152,,,152,,147,145,146,101,132.75,152,136.5,18.798,8,150,146,122,139.333,170,220,,195,233,,,233,,196,168,182,122,175.625,233,169,38.127,8
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.3,8.47,8.3,8.385,8.47,2,8.35,8.29,7.8,8.147,8.36,8.25,,8.305,8.54,,,8.54,,8.31,8.31,8.31,7.8,8.276,8.54,8.31,0.211,8,8.19,8.35,7.67,8.07,8.34,8.23,,8.285,8.4,,,8.4,,8.1,8.12,8.11,7.67,8.175,8.4,8.21,0.232,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,10.3,9.63,9.63,9.965,10.3,2,9.15,10.3,11.62,10.357,,5.6,,5.6,6.72,,,6.72,,6.81,9.97,8.39,5.6,8.596,11.62,9.15,2.233,7,9.88,9.5,7.4,8.927,,6.72,,6.72,6.72,,,6.72,,6.88,7.3,7.09,6.72,7.771,9.88,7.3,1.342,7
1013,Ngopshmëria me oksigjen,NgO,%,110,110,110,110,110,2,,111.1,115,113.05,,59.1,,59.1,89.1,,,89.1,,67.4,99.6,83.5,59.1,90.217,115,94.35,22.928,6,,95.9,72.9,84.4,,75.3,,75.3,88,,,88,,68.9,72.5,70.7,68.9,78.917,95.9,74.1,10.599,6
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,1,0.05,0.05,0.525,1,2,6.3,4.4,1.1,3.933,19.8,2,,10.9,31.5,,,31.5,,4.7,2.1,3.4,1.1,8.988,31.5,4.55,10.881,8,19.6,9.5,12.5,13.867,22.2,3.9,,13.05,11.1,,,11.1,,7.1,4.8,5.95,3.9,11.338,22.2,10.3,6.623,8
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0,,0,0,3.7,2.4,0.9,2.333,9.3,1.4,,5.35,14.8,,,14.8,,2.5,1.3,1.9,0.9,4.538,14.8,2.45,4.942,8,4.31,4.3,6.1,4.903,6.3,0.5,,3.4,5.1,,,5.1,,1.4,2,1.7,0.5,3.751,6.3,4.305,2.191,8
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1018,Karboni organik total ,KOT,mg/l C,0.8,0.15,0.15,0.475,0.8,2,2.9,1.7,0.7,1.767,6.1,1.1,,3.6,9.8,,,9.8,,1.7,1,1.35,0.7,3.125,9.8,1.7,3.207,8,6,2.9,4.1,4.333,8.8,1.1,,4.95,3.4,,,3.4,,2.2,1.4,1.8,1.1,3.738,8.8,3.15,2.577,8
1019,Meteriet totale të suspenduara ,MTS,mg/l,2,1.7,1.7,1.85,2,2,36.5,0.15,4.9,13.85,0.15,9.9,,5.025,0.15,,,0.15,,2.9,2.5,2.7,0.15,7.144,36.5,2.7,12.31,8,15.2,15.4,13.8,14.8,0.15,8.4,,4.275,7.3,,,7.3,,0.15,16,8.075,0.15,9.55,16,11.1,6.643,8
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.15,0.15,0.15,2,2.4,0.7,0.8,1.3,0.15,1.1,,0.625,,,,,,0.6,0.7,0.65,0.15,0.921,2.4,0.7,0.711,7,0.15,0.15,0.15,0.15,0.15,0.15,,0.15,0.15,,,0.15,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,8
1021,Joni nitratet ,NO3-,mg/l,,0.9,0.9,0.9,0.9,1,,0.15,0.15,0.15,,0.15,,0.15,0.15,,,0.15,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,6,2.1,1.2,0.15,1.15,2.3,5.2,,3.75,5.1,,,5.1,,9.4,7.5,8.45,0.15,4.119,9.4,3.7,3.232,8
1022,Azoti i nitrateve,N-NO3-,mg/l N,,0.203,0.203,0.203,0.203,1,,0.15,0.15,0.15,,0.15,,0.15,0.15,,,0.15,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,6,0.475,0.271,0.15,0.299,0.52,1.175,,0.848,1.153,,,1.153,,2.124,1.695,1.91,0.15,0.945,2.124,0.836,0.711,8
1023,Joni nitrit ,NO2-,mg/l,0.021,0.0045,0.005,0.013,0.021,2,0.023,0.016,0.022,0.02,0.086,0.133,,0.11,0.122,,,0.122,,0.0045,,0.005,0.005,0.058,0.133,0.023,0.054,7,0.08,0.035,0.049,0.055,0.087,0.11,,0.099,0.03,,,0.03,,0.0045,,0.005,0.005,0.057,0.11,0.049,0.037,7
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.006,0.0045,0.005,0.005,0.006,2,0.007,0.005,0.007,0.006,0.026,0.04,,0.033,0.037,,,0.037,,0.0045,,0.005,0.005,0.018,0.04,0.007,0.016,7,0.024,0.011,0.015,0.017,0.026,0.033,,0.03,0.009,,,0.009,,0.0045,,0.005,0.005,0.018,0.033,0.015,0.011,7
1025,Joni amonium,NH4+,mg/l,,1.501,1.501,1.501,1.501,1,0.363,,0.168,0.266,2.98,1.47,,2.225,3.38,,,3.38,,2.708,,2.708,0.168,1.845,3.38,2.089,1.381,6,0.396,,0.117,0.257,2.18,7.05,,4.615,3.56,,,3.56,,1.88,,1.88,0.117,2.531,7.05,2.03,2.546,6
1026,Azoti i amoniumit,N-NH4+,mg/l N,,1.168,1.168,1.168,1.168,1,0.282,,0.131,0.207,2.318,1.144,,1.731,2.63,,,2.63,,2.107,,2.107,0.131,1.435,2.63,1.625,1.075,6,0.308,,0.091,0.2,1.696,5.485,,3.59,2.77,,,2.77,,1.463,,1.463,0.091,1.969,5.485,1.579,1.981,6
1027,Azoti total inorganik,ATI,mg/l N,0.006,1.376,0.006,0.691,1.376,2,0.289,0.155,0.287,0.244,2.345,1.334,,1.839,2.817,,,2.817,,2.261,0.15,1.206,0.15,1.205,2.817,0.812,1.129,8,0.807,0.282,0.256,0.448,2.242,6.694,,4.468,3.931,,,3.931,,3.592,1.695,2.643,0.256,2.437,6.694,1.969,2.215,8
1028,Amoniumi i pajonizuar,NH3,mg/l,,1.098,1.098,1.098,1.098,1,0.265,,0.123,0.194,2.179,1.075,,1.627,2.472,,,2.472,,1.98,,1.98,0.123,1.349,2.472,1.528,1.01,6,0.29,,0.086,0.188,1.594,5.156,,3.375,2.603,,,2.603,,1.375,,1.375,0.086,1.851,5.156,1.485,1.862,6
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,,0.903,0.903,0.903,0.903,1,0.218,,0.101,0.16,1.794,0.885,,1.339,2.034,,,2.034,,1.63,,1.63,0.101,1.11,2.034,1.257,0.831,6,0.238,,0.07,0.154,1.312,4.243,,2.778,2.143,,,2.143,,1.132,,1.132,0.07,1.523,4.243,1.222,1.532,6
1030,Azoti total organik+inorganik,AT,mg/l N,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1031,Azoti total organik,ATO,mg/l N,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1032,Ortofosfatet,PO43-,mg/l,0.1,0.142,0.1,0.121,0.142,2,0.135,0.1,0.14,0.125,0.032,0.54,,0.286,0.432,,,0.432,,0.35,,0.35,0.032,0.247,0.54,0.14,0.193,7,0.35,0.124,0.127,0.2,0.029,0.063,,0.046,0.15,,,0.15,,0.091,,0.091,0.029,0.133,0.35,0.124,0.104,7
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.033,0.046,0.033,0.039,0.046,2,0.044,0.033,0.046,0.041,0.01,0.176,,0.093,0.141,,,0.141,,0.114,,0.114,0.01,0.081,0.176,0.046,0.063,7,0.114,0.04,0.041,0.065,0.009,0.021,,0.015,0.049,,,0.049,,0.03,,0.03,0.009,0.043,0.114,0.04,0.034,7
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0,,0,0,0.086,0.048,0.071,0.068,0.013,0.245,,0.129,0.081,,,0.081,,0.124,,0.124,0.013,0.095,0.245,0.081,0.074,7,0.18,0.068,0.07,0.106,0.015,0.033,,0.024,0.054,,,0.054,,0.04,,0.04,0.015,0.066,0.18,0.054,0.054,7
1035,Joni sulfat ,SO42-,mg/l,1,0.05,0.05,0.525,1,2,4.9,2,3.1,3.333,5.6,9.46,,7.53,1.8,,,1.8,,8.3,,8.3,1.8,5.023,9.46,4.9,3,7,6.7,14.7,5.8,9.067,6.8,15.2,,11,4.5,,,4.5,,13,,13,4.5,9.529,15.2,6.8,4.575,7
1036,Fortësia e përgjithshme ,Fp,0dH,7.7,8.69,7.7,8.195,8.69,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,6.3,7.28,6.3,6.79,7.28,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1038,Fortësia e Magnezit,FMg,mg/l,1.4,1.41,1.4,1.405,1.41,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,45.045,52.05,45.045,48.549,52.052,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1040,Jonet e Magnezit,Mg+,mg/l,6.076,6.12,6.076,6.098,6.119,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,2.53,2.96,2.53,2.745,2.96,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1043,Alkaliteti total,AT,mmol/l HCl,2.53,2.96,2.53,2.745,2.96,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1044,Bikarbonatet ,HCO3-,mg/l,154.33,180.6,154.33,167.445,180.56,2,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1045,Klori i lirë,Cl2,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1046,Kloruret ,Cl-,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
40,Silikatet,SiO32-,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0,,0,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,0
