,,,Pellgu Drini I Bardhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Mirusha,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_051,,,,,,RV01_052,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Bajë e Malishevës,,,,,,Volljakë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,29.04.2013,12.12.2013,,,,,19.03.2013,18.04.2013,23.05.2013,,25.06.2013,17.07.2013,,,,,05.11.2013,,16.12.2013,22.01.2013,20.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:18,15:10,,,,,10:15,10:00,12:45,,10:25,11:45,,,,,11:45,,10:00,10:05,10:20,,,,,,,
1002,Moti,M,vrojtim,diell,vranet,,,,,vranet,me diell,me shi,,vranet,diell,,,,,vranët,,diell,vranet,diell,,,,,,,
1003,Temperatura e ujit ,Tu,0C,25,21.6,21.600,23.300,25.000,2,8.6,12.6,16.5,12.567,18.8,17.2,,18.000,,,14.6,14.600,4.0,7.5,7.2,6.233,4.000,11.889,18.800,12.600,5.237,9
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,pa,pa,0.000,,0.000,0,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,8.4,9.6,8.400,9.000,9.600,2,31,15.4,14.1,20.167,10.4,9.2,,9.800,,,0.7,0.700,11.1,228,13.9,84.333,0.700,37.089,228.000,13.900,72.033,9
1008,Perqueshmëria elektrike,χ,µScm-1,714,721,714.000,717.500,721.000,2,570,657,639,622.000,619,646,,632.500,,,691,691.000,706,465,662,611.000,465.000,628.333,706.000,646.000,72.894,9
1009,Materiet e tretshme në ujë,M.tert.,mg/l,357,361,357.000,359.000,361.000,2,285,328,318,310.333,309,323,,316.000,,,345,345.000,353,232,331,305.333,232.000,313.778,353.000,323.000,36.492,9
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,6.82,,6.820,6.820,6.820,1,8.03,7.96,7.81,7.933,7.99,8.72,,8.355,,,8.56,8.560,,7.84,8.09,7.965,7.810,8.125,8.720,8.010,0.334,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,4.68,8.13,4.680,6.405,8.130,2,4.68,9.25,9.33,7.753,,,,,,,8.44,8.440,10.02,6.5,10.7,9.073,4.680,8.417,10.700,9.250,2.119,7
1013,Ngopshmëria me oksigjen,NgO,%,58.2,84.3,58.200,71.250,84.300,2,49.8,89.5,98.3,79.200,,,,,,,82.4,82.400,81.5,66.8,107.6,85.300,49.800,82.271,107.600,82.400,19.344,7
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,3.7,3.7,3.700,3.700,3.700,2,4.6,8.5,11.8,8.300,2.7,2.9,,2.800,,,7.2,7.200,8.4,32.5,5,15.300,2.700,9.289,32.500,7.200,9.189,9
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,1.3,,1.300,1.300,1.300,1,0.58,0.4,4.7,1.893,1,1.0,,1.000,,,0.15,0.150,3.4,11.9,0.15,5.150,0.150,2.587,11.900,1.000,3.834,9
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,1.0,0.7,0.700,0.850,1.000,2,3.2,2.6,4.3,3.367,0.7,0.8,,0.750,,,2.3,2.300,2.5,22.4,1.5,8.800,0.700,4.478,22.400,2.500,6.816,9
1019,Meteriet totale të suspenduara ,MTS,mg/l,29.20,0.15,0.150,14.675,29.200,2,31.5,,23.8,27.650,21.6,22.6,,22.100,,,0.15,0.150,0.15,,0.15,0.150,0.150,14.279,31.500,21.600,13.595,7
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,0.15,0.15,0.05,0.117,0.15,0.15,,0.150,,,0.15,0.150,0.15,0.15,0.15,0.150,0.050,0.139,0.150,0.150,0.033,9
1021,Joni nitratet ,NO3-,mg/l,20.1,22.8,20.100,21.450,22.800,2,8.9,6.4,6.4,7.233,6.4,18.4,,12.400,,,4.9,4.900,0.15,8.3,11,6.483,0.150,7.872,18.400,6.400,4.960,9
1022,Azoti i nitrateve,N-NO3-,mg/l N,4.543,5.153,4.543,4.848,5.153,2,2.011,1.446,1.446,1.635,1.446,4.158,,2.802,,,1.107,1.107,0.15,1.876,2.486,1.504,0.150,1.792,4.158,1.446,1.099,9
1023,Joni nitrit ,NO2-,mg/l,0.09,0.0045,0.0045,0.047,0.090,2,0.105,0.0045,0.0045,0.038,0.168,0.0045,,0.086,,,0.093,0.093,0.0045,0.053,,0.029,0.005,0.055,0.168,0.029,0.062,8
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.027,0.0045,0.0045,0.016,0.027,2,0.032,0.0045,0.0045,0.014,0.051,0.0045,,0.028,,,0.028,0.028,0.0045,0.016,,0.010,0.0045,0.018,0.051,0.010,0.017,8
1025,Joni amonium,NH4+,mg/l,0.023,0.863,0.023,0.443,0.863,2,0.331,,0.061,0.196,4.158,2.47,,3.314,,,2.324,2.324,6.4,1.04,,3.720,0.061,2.398,6.400,2.324,2.262,7
1026,Azoti i amoniumit,N-NH4+,mg/l N,0.018,0.671,0.018,0.345,0.671,2,0.258,,0.047,0.152,3.235,1.922,,2.578,,,1.808,1.808,4.979,0.809,,2.894,0.047,1.865,4.979,1.808,1.760,7
1027,Azoti total inorganik,ATI,mg/l N,4.588,5.829,4.588,5.208,5.829,2,2.301,1.451,1.498,1.750,4.732,6.085,,5.408,,,2.944,2.944,5.134,2.701,2.486,3.440,1.451,3.259,6.085,2.701,1.657,9
1028,Amoniumi i pajonizuar,NH3,mg/l,0.017,0.631,0.017,0.324,0.631,2,0.242,,0.045,0.143,3.041,1.806,,2.424,,,1.700,1.700,4.680,0.761,,2.721,0.045,1.753,4.680,1.700,1.654,7
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,0.014,0.519,0.014,0.267,0.519,2,0.199,,0.037,0.118,2.503,1.487,,1.995,,,1.399,1.399,3.852,0.626,,2.239,0.037,1.443,3.852,1.399,1.362,7
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.0015,0.074,0.002,0.038,0.074,2,0.105,0.069,0.488,0.221,0.074,0.133,,0.104,,,0.371,0.371,1.842,0.053,,0.948,0.053,0.392,1.842,0.119,0.607,8
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.0015,0.024,0.002,0.013,0.024,2,0.034,0.022,0.159,0.072,0.024,0.043,,0.034,,,0.121,0.121,0.600,0.017,,0.309,0.017,0.128,0.600,0.039,0.198,8
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.052,0.062,0.204,0.106,0.036,0.052,,0.044,,,0.138,0.138,0.816,0.034,,0.425,0.034,0.174,0.816,0.057,0.266,8
1035,Joni sulfat ,SO42-,mg/l,5.1,,5.100,5.100,5.100,1,17.3,14,14.3,15.200,18.9,15,,16.950,,,28.8,28.800,,25.4,,25.400,14.000,19.100,28.800,17.300,5.815,7
1036,Fortësia e përgjithshme ,Fp,0dH,19.88,21.00,19.880,20.440,21.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,15.90,17.50,15.900,16.700,17.500,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,4.0,3.50,3.500,3.740,3.980,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,113.7,125.13,113.685,119.405,125.125,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,17.27,15.19,15.190,16.232,17.273,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,6.94,7.62,6.940,7.280,7.620,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,6.940,7.620,6.940,7.280,7.620,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,423.3,464.8,423.340,444.080,464.820,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
