,,,,,Pellgu I Lepencit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Nerodimja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV04_021,,,,,,RV04_022,,,,,,,,,,,,,,,,,,,,,,RV04_023,,,,,,,,,,,,,,,,,,,,,,RV04_024,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Jezerc,,,,,,Bifurkacioni,,,,,,,,,,,,,,,,,,,,,,Gërlicë,,,,,,,,,,,,,,,,,,,,,,NerodimjaKaçanik ,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,25.04.2013,12.12.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03.2013,25.04.2013,30.05.2013,,,24.07.2013,,,,08.10.2013,,,05.12.2013,31.01.2013,28.02.2013,,,,,,,,21.03.2013,25.04.2013,30.05.2013,,,,,,,08.10.2013,,,05.12.2013,,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,10:25,11:50,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,15:10,12:45,,,14:50,,,,9:50,,,10:00,10:15,13:05,,,,,,,,15:10,14:55,14:30,,,,,,,10:05,,,10:20,,13:20,,,,,,,
1002,Moti,M,vrojtim,me diell,vranet,,,,,,,,,,,,,,,,,,,,,,,,,,,me shi,me diell,me diell,,,diell,,,,diell,,,diell,shi,vranet,,,,,,,,me shi,me diell,me diell,,,,,,,diell,,,diell,,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,10.25,0.3,0.300,5.275,10.250,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,10.5,16.1,15.9,14.167,,21.4,,21.400,,12.5,,12.500,4.5,3.8,6.4,4.900,3.800,11.388,21.400,11.500,6.265,8,10.3,18.5,19.1,15.967,,,,,,14,,14.000,3.9,,5.8,4.850,3.900,11.933,19.100,12.150,6.381,6
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,pa,pa,pa,,,pa,,,,pa,,,pa,pa,pa,,0.000,,0.000,,,0,pa,pa,pa,,,,,,,pa,,,pa,,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,pa,,,,pa,,,pa,,,,0.000,,0.000,,,0,,,,,,,,,,pa,,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,9.7,9.5,9.500,9.600,9.700,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,17.7,10.2,19.4,15.767,,18,,18.000,,115,,115.000,117,15.8,33,55.267,10.200,43.263,117.000,18.700,45.351,8,19.2,18.8,14.7,17.567,,,,,,13.7,,13.700,111,,21,66.000,13.700,33.067,111.000,19.000,38.282,6
1008,Perqueshmëria elektrike,χ,µScm-1,113,149,113.000,131.000,149.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,425,459,401,428.333,,621,,621.000,,587,,587.000,638,540,413,530.333,401.000,510.500,638.000,499.500,97.576,8,458,455,495,469.333,,,,,,564,,564.000,621,,225,423.000,225.000,469.667,621.000,476.500,136.129,6
1009,Materiet e tretshme në ujë,M.tert.,mg/l,57,75,57.000,66.000,75.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,213,230,200,214.333,,310,,310.000,,293,,293.000,318,271,207,265.333,200.000,255.250,318.000,250.500,48.420,8,230,227,247,234.667,,,,,,282,,282.000,312,,112,212.000,112.000,235.000,312.000,238.500,68.557,6
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.21,,8.210,8.210,8.210,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,7.73,7.58,8.24,7.850,,8,,8.000,,8.22,,8.220,,7.74,7.79,7.765,7.580,7.900,8.240,7.790,0.257,7,7.94,8.08,8.37,8.130,,,,,,8.52,,8.520,,,8.11,8.110,7.940,8.204,8.520,8.110,0.235,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,7.99,11.6,7.990,9.795,11.600,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,6.89,4.62,6.01,5.840,,2.36,,2.360,,,,,2.9,7.83,9.87,6.867,2.360,5.783,9.870,6.010,2.694,7,8.89,4.5,6.93,6.773,,,,,,,,,6.17,,8.37,7.270,4.500,6.972,8.890,6.930,1.760,5
1013,Ngopshmëria me oksigjen,NgO,%,77.7,91.1,77.700,84.400,91.100,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,79.5,49.4,62.7,63.867,,21.1,,21.100,,,,,26.9,64.3,105,65.400,21.100,58.414,105.000,62.700,29.254,7,99.5,47.6,72.4,73.167,,,,,,,,,48.8,,102.8,75.800,47.600,74.220,102.800,72.400,26.524,5
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,1.3,6.7,1.300,4.000,6.700,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,4.2,9,6.8,6.667,,14.2,,14.200,,16.4,,16.400,11.5,27.2,3,13.900,3.000,11.538,27.200,10.250,7.853,8,3.9,9.2,4.8,5.967,,,,,,7.2,,7.200,7.1,,2.2,4.650,2.200,5.733,9.200,5.950,2.559,6
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,2.1,4.7,3.5,3.433,,7.7,,7.700,,8.9,,8.900,5.5,13.4,1.1,6.667,1.100,5.863,13.400,5.100,4.023,8,1.6,1.3,2.1,1.667,,,,,,3.8,,3.800,2.4,,0.4,1.400,0.400,1.933,3.800,1.850,1.148,6
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,0.9,2.1,0.900,1.500,2.100,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,1.6,3.5,2.6,2.567,,5.5,,5.500,,6.4,,6.400,3.5,8.1,0.8,4.133,0.800,4.000,8.100,3.500,2.487,8,1.2,2.7,1.6,1.833,,,,,,2.8,,2.800,1.9,,0.6,1.250,0.600,1.800,2.800,1.750,0.856,6
1019,Meteriet totale të suspenduara ,MTS,mg/l,4.7,15.00,4.700,9.850,15.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,29,34,31,31.333,,14.0,,14.000,,21.60,,21.600,18.7,3.8,23.4,15.300,3.800,21.938,34.000,22.500,9.872,8,23.4,20,34,25.800,,,,,,31.0,,31.000,28.10,,7.8,17.950,7.800,24.050,34.000,25.750,9.430,6
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,1,1.8,1.4,1.400,,2.5,,2.500,,3.0,,3.000,0.5,0.5,0.15,0.383,0.150,1.356,3.000,1.200,1.018,8,0.3,0.15,0.7,0.383,,,,,,1.6,,1.600,0.8,,0.15,0.475,0.150,0.617,1.600,0.500,0.556,6
1021,Joni nitratet ,NO3-,mg/l,0.15,0.15,0.150,0.150,0.150,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,3,0.15,0.15,1.100,,0.15,,0.150,,0.15,,0.150,6.6,6.4,10.3,7.767,0.150,3.363,10.300,1.575,3.951,8,5.3,7.4,6.3,6.333,,,,,,3.8,,3.800,5.8,,3.2,4.500,3.200,5.300,7.400,5.550,1.570,6
1022,Azoti i nitrateve,N-NO3-,mg/l N,0.15,0.15,0.150,0.150,0.150,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,0.678,0.15,0.15,0.326,,0.15,,0.150,,0.15,,0.150,1.492,1.446,2.328,1.755,0.150,0.818,2.328,0.414,0.839,8,1.198,1.672,1.424,1.431,,,,,,0.859,,0.859,1.311,,0.723,1.017,0.723,1.198,1.672,1.254,0.355,6
1023,Joni nitrit ,NO2-,mg/l,0.0045,0.0045,0.005,0.005,0.005,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,0.301,0.269,0.301,0.290,,0.105,,0.105,,0.172,,0.172,0.224,0.323,0.197,0.248,0.105,0.237,0.323,0.247,0.076,8,0.447,0.959,0.851,0.752,,,,,,1.027,,1.027,0.292,,0.0045,0.148,0.005,0.597,1.027,0.649,0.412,6
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.0045,0.0045,0.005,0.005,0.005,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,0.092,0.082,0.092,0.088,,0.032,,0.032,,0.052,,0.052,0.068,0.098,0.060,0.075,0.032,0.072,0.098,0.075,0.023,8,0.136,0.292,0.259,0.229,,,,,,0.312,,0.312,0.089,,0.0045,0.047,0.005,0.182,0.312,0.197,0.124,6
1025,Joni amonium,NH4+,mg/l,0.46,0.901,0.460,0.681,0.901,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,4.25,6.372,3.73,4.784,,7.27,,7.270,,3.76,,3.760,11.29,17.59,2.09,10.323,2.090,7.044,17.590,5.311,5.125,8,2.363,3.309,3.678,3.117,,,,,,4.24,,4.240,10.74,,0.266,5.503,0.266,4.099,10.740,3.494,3.539,6
1026,Azoti i amoniumit,N-NH4+,mg/l N,0.358,0.701,0.358,0.529,0.701,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,3.307,4.957,2.902,3.722,,5.656,,5.656,,2.925,,2.925,8.784,13.685,1.626,8.032,1.626,5.480,13.685,4.132,3.987,8,1.838,2.574,2.861,2.425,,,,,,3.299,,3.299,8.356,,0.207,4.281,0.207,3.189,8.356,2.718,2.753,6
1027,Azoti total inorganik,ATI,mg/l N,0.512,0.855,0.512,0.684,0.855,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,4.076,5.189,3.143,4.136,,5.838,,5.838,,3.128,,3.128,10.343,15.230,4.014,9.862,3.128,6.370,15.230,4.633,4.271,8,3.172,4.538,4.544,4.085,,,,,,4.470,,4.470,9.755,,0.935,5.345,0.935,4.569,9.755,4.504,2.901,6
1028,Amoniumi i pajonizuar,NH3,mg/l,0.336,0.659,0.336,0.498,0.659,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,3.108,4.660,2.728,3.499,,5.317,,5.317,,2.750,,2.750,8.257,12.864,1.528,7.550,1.528,5.151,12.864,3.884,3.748,8,1.728,2.420,2.690,2.279,,,,,,3.101,,3.101,7.854,,0.195,4.024,0.195,2.998,7.854,2.555,2.588,6
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,0.277,0.542,0.277,0.410,0.542,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,2.558,3.835,2.245,2.879,,4.376,,4.376,,2.263,,2.263,6.795,10.587,1.258,6.213,1.258,4.240,10.587,3.197,3.085,8,1.422,1.992,2.214,1.876,,,,,,2.552,,2.552,6.464,,0.160,3.312,0.160,2.467,6.464,2.103,2.130,6
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.026,0.0015,0.002,0.014,0.026,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,0.952,0.528,0.94,0.807,,1.301,,1.301,,2.201,,2.201,0.977,0.35,0.5,0.609,0.350,0.969,2.201,0.946,0.589,8,0.56,0.276,0.21,0.349,,,,,,1.09,,1.090,1.034,,0.104,0.569,0.104,0.546,1.090,0.418,0.428,6
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.008,0.0015,0.002,0.005,0.008,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,0.310,0.172,0.306,0.263,,0.424,,0.424,,0.718,,0.718,0.319,0.114,0.163,0.199,0.114,0.316,0.718,0.308,0.192,8,0.183,0.090,0.068,0.114,,,,,,0.355,,0.355,0.337,,0.034,0.185,0.034,0.178,0.355,0.136,0.139,6
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,0.48,0.19,0.32,0.330,,0.521,,0.521,,1.01,,1.010,0.531,0.25,0.2,0.327,0.190,0.438,1.010,0.400,0.270,8,0.2,0.15,0.11,0.153,,,,,,0.738,,0.738,0.511,,0.051,0.281,0.051,0.293,0.738,0.175,0.271,6
1035,Joni sulfat ,SO42-,mg/l,4,,4.000,4.000,4.000,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,12,31.9,21.9,21.933,,26.4,,26.400,,32.3,,32.300,38.2,33.7,19.2,30.367,12.000,26.950,38.200,29.150,8.739,8,20.5,28.3,23.3,24.033,,,,,,20.5,,20.500,29.7,,17.6,23.650,17.600,23.317,29.700,21.900,4.778,6
1036,Fortësia e përgjithshme ,Fp,0dH,3.5,4.34,3.500,3.920,4.340,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,2.66,3.51,2.660,3.085,3.510,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,0.84,0.83,0.830,0.835,0.840,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,19.019,25.10,19.019,22.058,25.097,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,3.6456,3.60,3.602,3.624,3.646,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,1.18,1.44,1.180,1.310,1.440,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,1.180,1.440,1.180,1.310,1.440,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,71.98,87.8,71.980,79.910,87.840,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
