,,,,,,Pellgu  i Ibrit,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Prishtevka,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV02_041,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Bresje,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,12.03.2013,15.04.2013,15.05.2013,,,11.07.2013,,,,,12.11.2013,,,09.01.2013,13.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,13:40,12:45,13:30,,,8:50,,,,,13:35,,,12:20,9:55,,,,,,,
1002,Moti,M,vrojtim,vranet,me diell,vranet,,,vranet,,,,,vranet,,,vranet,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,10.7,12.6,16.1,13.133,,16.7,,16.700,,,15.4,15.400,,8.2,10.4,9.300,8.200,12.871,16.700,12.600,3.271,7
1004,Temperatura e ajrit,TA,0C,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,amonjakale,pa,pa,,,pa,,,,,pa,,,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,,,,,,,,,,pa,,,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,24,37,124,61.667,,17.7,,17.700,,,222,222.000,,162,24,93.000,17.700,87.243,222.000,37.000,82.117,7
1008,Perqueshmëria elektrike,χ,µScm-1,798,780,829,802.333,,828,,828.000,,,907,907.000,,961,963,962.000,780.000,866.571,963.000,829.000,76.317,7
1009,Materiet e tretshme në ujë,M.tert.,mg/l,400,390,415,401.667,,414,,414.000,,,453,453.000,,480,481,480.500,390.000,433.286,481.000,415.000,37.717,7
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,7.92,7.8,7.32,7.680,,8.55,,8.550,,,8.34,8.340,,7.94,7.87,7.905,7.320,7.963,8.550,7.920,0.395,7
,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Oksigjeni i tretur ,OT,mg/l O2,4.96,3.86,5.49,4.770,,,,,,,,,,4.9,6.74,5.820,3.860,5.190,6.740,4.960,1.049,5
1013,Ngopshmëria me oksigjen,NgO,%,59.4,39.5,59,52.633,,,,,,,,,,51.4,60.4,55.900,39.500,53.940,60.400,59.000,8.833,5
1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,49.5,43.5,32,41.667,,17.8,,17.800,,,362.5,362.500,,113,72.5,92.750,17.800,98.686,362.500,49.500,120.376,7
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,18.8,20.4,16.6,18.600,,9.7,,9.700,,,6.6,6.600,,31.4,0.64,16.020,0.640,14.877,31.400,16.600,10.164,7
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,15.4,14,11.8,13.733,,7,,7.000,,,102.0,102.000,,35.2,22.4,28.800,7.000,29.686,102.000,15.400,33.160,7
1019,Meteriet totale të suspenduara ,MTS,mg/l,80,61.5,47,62.833,,24,,24.000,,,174,174.000,,42,68.5,55.250,24.000,71.000,174.000,61.500,49.011,7
1020,Detergjentet ,DET,mg/l,0.4,1.5,4.4,2.100,,3.5,,3.500,,,17.2,17.200,,0.15,0.15,0.150,0.150,3.900,17.200,1.500,6.102,7
1021,Joni nitratet ,NO3-,mg/l,0.15,0.15,0.15,0.150,,0.15,,0.150,,,8.3,8.300,,0.15,0.15,0.150,0.150,1.314,8.300,0.150,3.080,7
1022,Azoti i nitrateve,N-NO3-,mg/l N,0.15,0.15,0.15,0.150,,0.15,,0.150,,,1.876,1.876,,0.15,0.15,0.150,0.150,0.397,1.876,0.150,0.652,7
1023,Joni nitrit ,NO2-,mg/l,0.097,0.529,0.104,0.243,,0.327,,0.327,,,0.172,0.172,,0.079,0.265,0.172,0.079,0.225,0.529,0.172,0.163,7
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.029,0.161,0.032,0.074,,0.099,,0.099,,,0.052,0.052,,0.024,0.081,0.052,0.024,0.068,0.161,0.052,0.050,7
1025,Joni amonium,NH4+,mg/l,8.926,4.697,7.2,6.941,,6.72,,6.720,,,5,5.000,,23,0.57,11.785,0.570,8.016,23.000,6.720,7.109,7
1026,Azoti i amoniumit,N-NH4+,mg/l N,6.944,3.654,5.602,5.400,,5.228,,5.228,,,3.890,3.890,,17.894,0.443,9.169,0.443,6.237,17.894,5.228,5.531,7
1027,Azoti total inorganik,ATI,mg/l N,7.124,3.965,5.783,5.624,,5.478,,5.478,,,5.818,5.818,,18.068,0.674,9.371,0.674,6.701,18.068,5.783,5.421,7
1028,Amoniumi i pajonizuar,NH3,mg/l,6.528,3.435,5.266,5.076,,4.914,,4.914,,,3.657,3.657,,16.820,0.417,8.619,0.417,5.862,16.820,4.914,5.199,7
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,5.372,2.827,4.334,4.178,,4.045,,4.045,,,3.009,3.009,,13.843,0.343,7.093,0.343,4.825,13.843,4.045,4.279,7
1030,Azoti total organik+inorganik,AT,mg/l N,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,3.53,1.685,1.304,2.173,,0.731,,0.731,,,3.943,3.943,,5.03,0.463,2.747,0.463,2.384,5.030,1.685,1.771,7
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,1.151,0.549,0.425,0.708,,0.238,,0.238,,,1.285,1.285,,1.640,0.151,0.895,0.151,0.777,1.640,0.549,0.577,7
1034,Fosfori total (poli+orto),Ptot.,mg/l ,1.241,0.61,0.49,0.780,,0.62,,0.620,,,1.913,1.913,,1.67,0.165,0.918,0.165,0.958,1.913,0.620,0.656,7
1035,Joni sulfat ,SO42-,mg/l,77.5,86.7,158.4,107.533,,61.3,,61.300,,,75,75.000,,62,75.6,68.800,61.300,85.214,158.400,75.600,33.480,7
1036,Fortësia e përgjithshme ,Fp,0dH,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
